country,to_review,suggested_standard,n1,n2,dist
China,Dawa Qu,Zhangwan Qu,12,24,0.19913419913419916
China,Daxiang,Dalian,47,12,0.15079365079365092
China,Daxiang District,Louxing District,6,12,0.125
China,Daxiang Qu,Daguan Qu,24,12,0.16620370370370363
China,Daye Shi,Dali Shi,12,12,0.16666666666666674
China,Dazhou,Dezhou,20,39,0.11111111111111105
China,Decheng Qu,Beichen Qu,12,12,0.1333333333333333
China,Dehong,Decheng Qu,12,12,0.2222222222222222
China,Delingha Shi,Xichang Shi,12,24,0.218013468013468
China,Deyang,Anyang,40,39,0.22222222222222232
China,Dezhou,Wenzhou,39,47,0.15079365079365092
China,Dezhou Shi,Dezhou,39,6,0.1333333333333333
China,Dianbai Qu,Daan Qu,12,12,0.14761904761904776
China,Dianjun Qu,Dantu Qu,12,6,0.1416666666666666
China,Diecai District,Caidian District,12,12,0.1777777777777778
China,Dingcheng Qu,Longcheng Qu,12,24,0.11111111111111105
China,Dinghai Qu,Dongshan Qu,12,24,0.1575757575757576
China,Dinghu Qu,Binhu Qu,24,12,0.11574074074074081
China,Dingxi,Xiangxi,20,23,0.15079365079365092
China,Dingxi Shi,Dingxi,20,6,0.1333333333333333
China,Diqing,Daqing,35,21,0.1777777777777778
China,Diqing Zangzu Zizhizhou,Diqing,21,12,0.24637681159420288
China,Dongan Qu,Longyang Qu,12,24,0.12794612794612803
China,Dongbao,Dongguan,12,47,0.22023809523809523
China,Dongbao District,Dongbao,12,12,0.1875
China,Dongbao Qu,Dongan Qu,12,12,0.10370370370370363
China,Dongchang Qu,Dingcheng Qu,12,12,0.11111111111111105
China,Dongchangfu,Dongcheng Qu,6,12,0.14393939393939392
China,Dongchangfu District,Rongcheng District,6,12,0.10370370370370363
China,Dongchangfu Qu,Donghu Qu,6,12,0.11904761904761907
China,Dongcheng,Dongchangfu,6,6,0.12794612794612803
China,Dongcheng Qu,Dongshan Qu,12,24,0.14393939393939392
China,Dongfeng District,Dongbao District,12,12,0.14093137254901966
China,Donggang Qu,Dongshan Qu,12,24,0.1212121212121211
China,Dongguan Shi,Dongguan,47,6,0.11111111111111116
China,Donghe,Honghe,6,12,0.11111111111111105
China,Donghe District,Dongbao District,12,6,0.10694444444444451
China,Donghe Qu,Donghe,6,6,0.11111111111111116
China,Donghu Qu,Conghua Qu,12,12,0.10370370370370363
China,Dongli,Dongli Qu,6,12,0.11111111111111116
China,Dongli Qu,Chongli Qu,12,12,0.10370370370370363
China,Dongqu,Dongguan,47,12,0.18055555555555558
China,Dongshan Qu,Bengshan Qu,24,24,0.1212121212121211
China,Dongsheng Qu,Dingcheng Qu,12,12,0.11111111111111105
China,Dongxing Qu,Dongan Qu,12,12,0.12794612794612803
China,Dongying,Chongqing,50,38,0.19444444444444453
